artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
$uicideboy$,1,0,1,0.0,0.0,0.0,Sacramento,1,1563970
2hollis,7,0,7,0.0,0.0,0.0,Ciudad de México,1,765293
5 Seconds of Summer,67,2,63,3.08,0.032,5.97,Birmingham,2,2228692
A Boogie wit da Hoodie,5,0,5,0.0,0.0,0.0,University Park,1,1426412
A$AP Rocky,39,0,39,0.0,0.0,0.0,Detroit,1,3389842
AC/DC,22,1,17,5.56,0.059,15.0,Ciudad de México,3,4509544
Addison Rae,1,0,1,0.0,0.0,0.0,Dublin,1,1486740
Adele,12,4,0,100.0,,100.0,Arlington,3,5565336
Aerosmith,2,0,2,0.0,0.0,0.0,Charlotte,1,4687407
Air,27,2,21,8.7,0.095,22.22,Las Vegas,4,3182451
Akon,65,5,51,8.93,0.098,21.54,London,4,3693557
Alex G,4,0,4,0.0,0.0,0.0,San Diego,1,2027114
Alex Warren,49,4,41,8.89,0.098,16.33,Amsterdam,2,921253
Alice in Chains,1,0,1,0.0,0.0,0.0,Southampton,1,3411263
All Time Low,4,0,4,0.0,0.0,0.0,Peoria,1,2543992
America,16,0,16,0.0,0.0,0.0,Louisville,1,2107097
Amy Winehouse,36,1,34,2.86,0.029,5.56,London,2,4581562
Anitta,1,0,1,0.0,0.0,0.0,Berlin,1,1189909
Arctic Monkeys,1,0,1,0.0,0.0,0.0,Ankara,1,7015740
Ariana Grande,41,11,0,100.0,,100.0,London,10,4406075
Artemas,8,0,8,0.0,0.0,0.0,New York,1,1577748
Ashnikko,32,0,32,0.0,0.0,0.0,Nashville,1,1437241
Avenged Sevenfold,16,0,16,0.0,0.0,0.0,Ridgedale,1,2842970
BTS,39,16,0,100.0,,100.0,Las Vegas,4,2316882
Baby Keem,45,7,30,18.92,0.233,33.33,San Francisco,3,1987315
Bad Bunny,26,8,2,80.0,4.0,92.31,Madrid,10,2475994
Bad Omens,22,3,15,16.67,0.2,31.82,Derby,3,771882
Bee Gees,1,0,1,0.0,0.0,0.0,San Leandro,1,3401162
Benson Boone,1,0,1,0.0,0.0,0.0,Birmingham,1,1456781
Big Thief,13,4,3,57.14,1.333,76.92,London,4,1625085
BigXthaPlug,6,0,6,0.0,0.0,0.0,Duluth,1,927084
Billy Idol,1,0,1,0.0,0.0,0.0,El Cajon,1,3019938
Billy Joel,5,0,5,0.0,0.0,0.0,Liverpool,1,4002041
Black Eyed Peas,1,0,1,0.0,0.0,0.0,Milton Keynes,1,5654716
Blondie,1,0,1,0.0,0.0,0.0,York,1,3393016
Blood Orange,10,1,7,12.5,0.143,22.22,Atlanta,2,1932824
Bob Dylan,23,0,23,0.0,0.0,0.0,Tyler,1,4266431
Bon Jovi,14,2,2,50.0,1.0,85.71,New York,9,4208319
Bring Me the Horizon,18,1,16,5.88,0.062,11.11,Dessel,2,2789482
Britney Spears,4,0,4,0.0,0.0,0.0,Swansea,1,6372536
Bruce Springsteen,20,2,16,11.11,0.125,20.0,Inglewood,2,3546912
Bruno Mars,80,25,9,73.53,2.778,88.75,London,6,5149729
Bryson Tiller,1,0,1,0.0,0.0,0.0,Abu Dhabi,1,1673484
Cage the Elephant,3,0,3,0.0,0.0,0.0,Saint Paul,1,3345543
Calvin Harris,12,4,4,50.0,1.0,66.67,Glasgow,2,4941812
Cardi B,24,2,20,9.09,0.1,16.67,New York,2,2385192
Cavetown,14,2,10,16.67,0.2,28.57,London,2,1609528
Charli xcx,5,1,2,33.33,0.5,60.0,San Francisco,3,3704686
Charlie Puth,42,0,42,0.0,0.0,0.0,Santa Barbara,1,2410781
Chevelle,36,0,36,0.0,0.0,0.0,Rogers,1,1803654
Chief Keef,2,0,2,0.0,0.0,0.0,South Padre Island,1,1715350
Childish Gambino,5,0,5,0.0,0.0,0.0,San Francisco,1,3744860
Chris Brown,1,0,1,0.0,0.0,0.0,Sunrise,1,4721507
Chris Isaak,9,0,9,0.0,0.0,0.0,Weert,1,2015168
Christina Aguilera,4,0,4,0.0,0.0,0.0,Durant,1,4429479
Christina Aguilera,4,0,4,0.0,0.0,0.0,Durant,1,4429479
Clean Bandit,1,0,1,0.0,0.0,0.0,Milton Keynes,1,2514159
Coldplay,4,0,4,0.0,0.0,0.0,Derby,1,9019488
Conan Gray,29,1,26,3.7,0.038,10.34,London,3,2379267
Creed,14,2,8,20.0,0.25,42.86,Craven,4,2417322
Creedence Clearwater Revival,8,0,8,0.0,0.0,0.0,Hjørring,1,4045557
DJ Snake,3,0,3,0.0,0.0,0.0,Chicago,1,2554391
Daft Punk,3,0,3,0.0,0.0,0.0,Fontana,1,6249715
Daniel Caesar,1,0,1,0.0,0.0,0.0,Eau Claire,1,2302276
Dave,38,8,21,27.59,0.381,44.74,George,3,1257297
David Guetta,2,0,2,0.0,0.0,0.0,Morrison,1,5160920
Deftones,7,0,7,0.0,0.0,0.0,Monterrey,1,4165017
Demi Lovato,23,0,23,0.0,0.0,0.0,Denver,1,3334640
Denzel Curry,1,0,1,0.0,0.0,0.0,Lismore,1,1606417
Destroy Lonely,4,0,4,0.0,0.0,0.0,South Padre Island,1,886732
Dire Straits,1,0,1,0.0,0.0,0.0,Inverness,1,3489758
Disclosure,20,5,8,38.46,0.625,60.0,Denver,3,2438802
Djo,24,9,5,64.29,1.8,79.17,San Francisco,3,2256954
Doja Cat,41,0,41,0.0,0.0,0.0,Denver,1,3560361
Dominic Fike,13,2,9,18.18,0.222,30.77,Seattle,2,2334593
Don Toliver,35,1,33,2.94,0.03,5.71,Los Angeles,2,2440803
Drake,12,1,10,9.09,0.1,16.67,Alpharetta,2,6646671
Duran Duran,7,1,3,25.0,0.333,57.14,Las Vegas,4,3130713
Eagles,10,1,4,20.0,0.25,60.0,Las Vegas,6,3790002
"Earth, Wind & Fire",47,3,41,6.82,0.073,12.77,Atlanta,2,2910579
Ed Sheeran,28,4,19,17.39,0.211,32.14,Toronto,3,4161226
Electric Light Orchestra,9,0,9,0.0,0.0,0.0,Troy,1,2943981
Elton John,1,0,1,0.0,0.0,0.0,Quebec,1,5171397
Eminem,2,0,2,0.0,0.0,0.0,Norwich ,1,7726026
Empire of the Sun,11,1,8,11.11,0.125,27.27,San Francisco,3,2984014
EsDeeKid,4,0,4,0.0,0.0,0.0,London,1,875817
Ethel Cain,28,4,18,18.18,0.222,35.71,San Francisco,3,1240159
Evanescence,39,0,39,0.0,0.0,0.0,Forest (Brussels),1,4440482
Exo,1,0,1,0.0,0.0,0.0,Houten,1,1033112
FKA twigs,22,1,20,4.76,0.05,9.09,Werchter,2,1644501
Fetty Wap,1,0,1,0.0,0.0,0.0,Montclair,1,1668347
Fleetwood Mac,2,0,2,0.0,0.0,0.0,Brisbane,1,4808547
Flo Rida,9,0,9,0.0,0.0,0.0,New York,1,4118878
Fontaines D.C.,3,0,3,0.0,0.0,0.0,Leeds,1,1068219
Foo Fighters,23,2,18,10.0,0.111,21.74,Napa,3,6313148
Foster the People,2,0,2,0.0,0.0,0.0,Louisville,1,3687798
Frank Sinatra,35,1,0,100.0,,100.0,Berlin,35,4885987
Franz Ferdinand,14,1,12,7.69,0.083,14.29,Werchter,2,4831912
Freddie Gibbs,20,2,16,11.11,0.125,20.0,Manchester,2,1278766
Future,1,0,1,0.0,0.0,0.0,Tampere,1,3171840
Geese,23,5,10,33.33,0.5,56.52,London,3,511461
Gigi Perez,30,6,16,27.27,0.375,46.67,Boston,4,1363612
Givēon,8,0,8,0.0,0.0,0.0,Dübendorf,1,688767
Gorillaz,41,4,32,11.11,0.125,20.0,Werchter,2,6779023
Grimes,1,0,1,0.0,0.0,0.0,Belfast,1,2627478
