artist_name,total_events,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,listeners
$uicideboy$,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1563970
2hollis,7,1.0,6.0,14.29,0.167,1.0,6.0,14.29,765293
5 Seconds of Summer,67,7.0,60.0,10.45,0.117,7.0,58.0,10.77,2228692
A Boogie wit da Hoodie,5,1.0,4.0,20.0,0.25,1.0,4.0,20.0,1426412
A$AP Rocky,39,6.0,33.0,15.38,0.182,6.0,33.0,15.38,3389842
AC/DC,22,0.0,22.0,0.0,0.0,0.0,18.0,0.0,4509544
Addison Rae,1,1.0,0.0,100.0,,1.0,0.0,100.0,1486740
Adele,12,0.0,12.0,0.0,0.0,0.0,4.0,0.0,5565336
Aerosmith,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4687407
Air,27,0.0,27.0,0.0,0.0,0.0,23.0,0.0,3182451
Akon,65,13.0,52.0,20.0,0.25,7.0,49.0,12.5,3693557
Alex G,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2027114
Alex Warren,49,7.0,42.0,14.29,0.167,4.0,41.0,8.89,921253
Alice in Chains,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3411263
All Time Low,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2543992
America,16,0.0,16.0,0.0,0.0,0.0,16.0,0.0,2107097
Amy Winehouse,36,3.0,33.0,8.33,0.091,2.0,33.0,5.71,4581562
Anitta,1,1.0,0.0,100.0,,1.0,0.0,100.0,1189909
Arctic Monkeys,1,1.0,0.0,100.0,,1.0,0.0,100.0,7015740
Ariana Grande,41,10.0,31.0,24.39,0.323,1.0,10.0,9.09,4406075
Artemas,8,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1577748
Ashnikko,32,0.0,32.0,0.0,0.0,0.0,32.0,0.0,1437241
Avenged Sevenfold,16,0.0,16.0,0.0,0.0,0.0,16.0,0.0,2842970
BTS,39,6.0,33.0,15.38,0.182,3.0,13.0,18.75,2316882
Baby Keem,45,3.0,42.0,6.67,0.071,3.0,34.0,8.11,1987315
Bad Bunny,26,16.0,10.0,61.54,1.6,5.0,5.0,50.0,2475994
Bad Omens,22,2.0,20.0,9.09,0.1,1.0,17.0,5.56,771882
Bee Gees,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3401162
Benson Boone,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1456781
Big Thief,13,8.0,5.0,61.54,1.6,4.0,3.0,57.14,1625085
BigXthaPlug,6,2.0,4.0,33.33,0.5,2.0,4.0,33.33,927084
Billy Idol,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3019938
Billy Joel,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4002041
Black Eyed Peas,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5654716
Blondie,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3393016
Blood Orange,10,0.0,10.0,0.0,0.0,0.0,8.0,0.0,1932824
Bob Dylan,23,0.0,23.0,0.0,0.0,0.0,23.0,0.0,4266431
Bon Jovi,14,4.0,10.0,28.57,0.4,2.0,2.0,50.0,4208319
Bring Me the Horizon,18,0.0,18.0,0.0,0.0,0.0,17.0,0.0,2789482
Britney Spears,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,6372536
Bruce Springsteen,20,0.0,20.0,0.0,0.0,0.0,18.0,0.0,3546912
Bruno Mars,80,15.0,65.0,18.75,0.231,4.0,30.0,11.76,5149729
Bryson Tiller,1,1.0,0.0,100.0,,1.0,0.0,100.0,1673484
